"qq","troopid"
"3179296854","107534910"
"2692131521","107534910"
"522385724","107534910"
"675232843","107534910"
"2628783778","107534910"
"2332929921","107534910"
"35485166","107534910"
"494912076","107534910"
"459618413","107534910"
"236573920","107534910"
"172872796","107534910"
"826922418","107534910"
"936986873","107534910"
"1723369039","107534910"
"1269949433","107534910"
"1654209359","107534910"
"3112848868","107534910"
"41117602","107534910"
"695408796","107534910"
"583031524","107534910"
"2799244703","107534910"
"51017823","107534910"
"864721629","107534910"
"736962770","107534910"
"1482373308","107534910"
"3171372070","107534910"
"2538278946","107534910"
"1246858066","107534910"
"2755498367","107534910"
"360318341","107534910"
"2724067342","107534910"
"24000593","107534910"
"693946710","107534910"
"1240498575","107534910"
"41425554","107534910"
"1092796694","107534910"
"627619390","107534910"
"326283901","107534910"
"775885975","107534910"
"2280138968","107534910"
"23475266","107534910"
"3154150560","107534910"
"2350192466","107534910"
"2092055483","107534910"
"273396220","107534910"
"260682582","107534910"
"2771787889","107534910"
"7279488","107534910"
"2712354678","107534910"
"843929114","107534910"
"2760772064","107534910"
"852884152","107534910"
"459059597","107534910"
"63090083","107534910"
"506030288","107534910"
"529014066","107534910"
"53256220","107534910"
"407267777","107534910"
"569063160","107534910"
"314633838","107534910"
"119510431","107534910"
"6416212","107534910"
"673368031","107534910"
"2482771700","107534910"
"3204811760","107534910"
"1009543367","107534910"
"2897277118","107534910"
"28783635","107534910"
"651590646","107534910"
"946428631","107534910"
"601185921","107534910"
"40860798","107534910"
"734470558","107534910"
"329536764","107534910"
"420081941","107534910"
"380048561","107534910"
"2795502330","107534910"
"1609478873","107534910"
"2748281065","107534910"
"947217598","107534910"
"3114763591","107534910"
"1486049173","107534910"
"366461966","107534910"
"715601321","107534910"
"253258014","107534910"
"2227452004","107534910"
"1312347281","107534910"
"450556853","107534910"
"59386414","107534910"
"8977126","107534910"
"591953739","107534910"
"4400694","107534910"
"2834521563","107534910"
"270292089","107534910"
"1774802413","107534910"
"379586337","107534910"
"211886346","107534910"
"597463442","107534910"
"604914747","107534910"
"1052104290","107534910"
"193055868","107534910"
"361629490","107534910"
"1060350403","107534910"
"3222518639","107534910"
"2517282616","107534910"
"82893457","107534910"
"1723775119","107534910"
"56834209","107534910"
