"","qq","troopid"
"693","1057493808",160055727
"694","1057493808",165029365
"695","1057493808",181450247
"696","1057493808",183240294
"697","1057493808",197602771
"698","1057493808",206098910
"699","1057493808",211510868
"700","1057493808",211618208
"701","1057493808",211619700
"702","1057493808",224545169
"703","1057493808",230325333
"704","1057493808",251171908
"705","1057493808",255279866
"706","1057493808",257897379
"707","1057493808",275477343
"708","1057493808",302456563
"709","1057493808",312395856
"710","1057493808",313157219
"711","1057493808",324223273
"712","1057493808",37669680
"713","1057493808",454072830
"714","1057493808",56845550
"715","105829504",319096993
"716","1059037025",113144675
"717","1059037025",138636556
"718","1059037025",15176325
"719","1059037025",275477343
"720","1059037025",413519021
"721","1059037025",74561271
"722","1060350403",107534910
"723","1060350403",143199998
"724","1060350403",150217116
"725","1060350403",175306878
"726","1060350403",181572738
"727","1060350403",181681485
"728","1060350403",241737532
"729","1060350403",28482910
"730","1060350403",308586614
"731","1060350403",3513533
"732","1060350403",364201662
"733","1060350403",386078547
"734","106157451",135512928
"735","106157451",249334621
"736","106157451",264658292
"737","106157451",275477343
"738","106157451",36055015
"739","106157451",456445270
"740","1062967",126461170
"741","1062967",150217116
"742","1062967",240193993
